time, NIS_laser_, threshold_laser, NIS_radar_, threshold_radar
1477010453800000,2.83966,5.991,0.,7.815
1477010453850000,0.,5.991,0.805594,7.815
1477010453900000,2.38635,5.991,0.,7.815
1477010453950000,0.,5.991,1.24706,7.815
1477010454000000,2.45101,5.991,0.,7.815
1477010454050000,0.,5.991,4.12961,7.815
1477010454100000,0.52005,5.991,0.,7.815
1477010454150000,0.,5.991,3.61227,7.815
1477010454200000,0.493681,5.991,0.,7.815
1477010454250000,0.,5.991,2.43776,7.815
1477010454300000,3.41849,5.991,0.,7.815
1477010454350000,0.,5.991,1.91804,7.815
1477010454400000,1.24894,5.991,0.,7.815
1477010454450000,0.,5.991,2.75016,7.815
1477010454500000,0.92493,5.991,0.,7.815
1477010454550000,0.,5.991,2.10916,7.815
1477010454600000,1.59831,5.991,0.,7.815
1477010454650000,0.,5.991,0.3974,7.815
1477010454700000,0.71175,5.991,0.,7.815
1477010454750000,0.,5.991,2.51643,7.815
1477010454800000,4.51836,5.991,0.,7.815
1477010454850000,0.,5.991,1.74156,7.815
1477010454900000,0.221901,5.991,0.,7.815
1477010454950000,0.,5.991,2.95197,7.815
1477010455000000,0.653061,5.991,0.,7.815
1477010455050000,0.,5.991,5.32827,7.815
1477010455100000,0.676391,5.991,0.,7.815
1477010455150000,0.,5.991,4.92257,7.815
1477010455200000,0.40794,5.991,0.,7.815
1477010455250000,0.,5.991,2.00814,7.815
1477010455300000,2.56785,5.991,0.,7.815
1477010455350000,0.,5.991,3.96318,7.815
1477010455400000,0.66198,5.991,0.,7.815
1477010455450000,0.,5.991,3.07901,7.815
1477010455500000,1.66945,5.991,0.,7.815
1477010455550000,0.,5.991,1.72415,7.815
1477010455600000,0.570112,5.991,0.,7.815
1477010455650000,0.,5.991,0.565271,7.815
1477010455700000,2.17911,5.991,0.,7.815
1477010455750000,0.,5.991,1.88776,7.815
1477010455800000,2.77667,5.991,0.,7.815
1477010455850000,0.,5.991,1.35969,7.815
